"","wk","wk_name","politician_id","profile_url","party_id","party","listenplatz","titel","vorname","nachname","geburtsname","geschlecht","geburtsjahr","ausbildung","wohnort","beruf","aw_fragen","aw_beantwortet"
"12",168,"Kassel",175875,"https://www.abgeordnetenwatch.de/profile/michael-aufenanger",2,"CDU",NA,NA,"Michael","Aufenanger",NA,"m",1976,"Polizeioberkommissar",NA,"Kresivorsitzender, Beisitzer im Landesvorstand",NA,NA
"13",168,"Kassel",121697,"https://www.abgeordnetenwatch.de/profile/matthias-noelke",4,"FDP",NA,NA,"Matthias","Nölke",NA,"m",1980,NA,NA,"Selbstständig",5,5
"14",168,"Kassel",145984,"https://www.abgeordnetenwatch.de/profile/boris-mijatovic",5,"Bündnis 90/Die Grünen",NA,NA,"Boris","Mijatovic",NA,"m",1974,"Politikwissenschaftler",NA,"Referent von MdB",NA,NA
"15",168,"Kassel",175336,"https://www.abgeordnetenwatch.de/profile/stephanie-schury",8,"DIE LINKE",5,NA,"Stephanie","Schury",NA,"f",NA,"Politikwissenschaftlerin","Kassel","Stadtverordnete im Kasseler Rathaus",NA,NA
"16",168,"Kassel",135464,"https://www.abgeordnetenwatch.de/profile/timon-gremmels",1,"SPD",NA,NA,"Timon","Gremmels",NA,"m",1976,"Diplom-Politologe",NA,"MdB",52,52
"17",169,"Werra-Meißner - Hersfeld-Rotenburg",176834,"https://www.abgeordnetenwatch.de/profile/heidi-schmidt",15,"MLPD",NA,NA,"Heidi","Schmidt",NA,NA,NA,NA,NA,NA,1,NA
"18",169,"Werra-Meißner - Hersfeld-Rotenburg",79202,"https://www.abgeordnetenwatch.de/profile/sabine-leidig",8,"DIE LINKE",NA,NA,"Sabine","Leidig",NA,"f",1961,"Biolaborantin",NA,"MdB",10,6
"19",169,"Werra-Meißner - Hersfeld-Rotenburg",176388,"https://www.abgeordnetenwatch.de/profile/rainer-janisch",7,"FREIE WÄHLER",NA,NA,"Rainer","Janisch",NA,"m",NA,NA,NA,NA,1,NA
"20",169,"Werra-Meißner - Hersfeld-Rotenburg",176020,"https://www.abgeordnetenwatch.de/profile/beate-gerke",201,"dieBasis",NA,NA,"Beate","Gerke",NA,NA,NA,NA,NA,NA,1,NA
"21",169,"Werra-Meißner - Hersfeld-Rotenburg",175891,"https://www.abgeordnetenwatch.de/profile/wilhelm-gebhard",2,"CDU",NA,NA,"Wilhelm","Gebhard",NA,"m",NA,NA,NA,"Bürgermeister",1,NA
"22",169,"Werra-Meißner - Hersfeld-Rotenburg",175750,"https://www.abgeordnetenwatch.de/profile/jorias-bach",4,"FDP",NA,NA,"Jorias","Bach",NA,"m",1998,"Student","Sontra","Student der Geschichtswissenschaften",1,NA
"23",169,"Werra-Meißner - Hersfeld-Rotenburg",175538,"https://www.abgeordnetenwatch.de/profile/awet-tesfaiesus",5,"Bündnis 90/Die Grünen",NA,NA,"Awet","Tesfaiesus",NA,NA,1974,"Rechtsanwältin",NA,"Partnerin einer Kanzlei",1,NA
"24",169,"Werra-Meißner - Hersfeld-Rotenburg",79042,"https://www.abgeordnetenwatch.de/profile/michael-roth",1,"SPD",NA,NA,"Michael","Roth",NA,"m",1970,"Diplom-Politologe",NA,"MdB, Staatsminister",35,34
"25",170,"Schwalm-Eder",120037,"https://www.abgeordnetenwatch.de/profile/heidemarie-scheuch-paschkewitz",8,"DIE LINKE",NA,NA,"Heidemarie","Scheuch-Paschkewitz",NA,"f",1959,"Dipl. Sozialpädagogin",NA,"MdL",NA,NA
"26",170,"Schwalm-Eder",176228,"https://www.abgeordnetenwatch.de/profile/markus-lappe",7,"FREIE WÄHLER",NA,NA,"Markus","Lappe",NA,"m",NA,NA,"Schwalmstadt",NA,NA,NA
"27",170,"Schwalm-Eder",176131,"https://www.abgeordnetenwatch.de/profile/hermann-ploppa",201,"dieBasis",NA,NA,"Hermann","Ploppa",NA,NA,NA,NA,NA,NA,NA,NA
"28",170,"Schwalm-Eder",176052,"https://www.abgeordnetenwatch.de/profile/clara-luisa-baumann",16,"Die PARTEI",16,NA,"Clara Luisa","Baumann",NA,"f",1989,"Bachelor of Arts Mediendesign","Edermünde","Hundetrainerin",2,NA
"29",170,"Schwalm-Eder",175829,"https://www.abgeordnetenwatch.de/profile/anna-maria-bischof",2,"CDU",NA,NA,"Anna-Maria","Bischof",NA,"f",NA,"Juristin",NA,"Kreisgeschäftsführerin bei CDU Schwalm-Eder",NA,NA
"30",170,"Schwalm-Eder",175701,"https://www.abgeordnetenwatch.de/profile/bastian-belz",4,"FDP",NA,NA,"Bastian","Belz","Bastian Belz","m",1990,"Industriekaufmann","Battenberg-Laisa","Kaufmännischer Angestellter, Vorsitzender OV Ederbergland",NA,NA
"31",170,"Schwalm-Eder",135209,"https://www.abgeordnetenwatch.de/profile/bettina-hoffmann",5,"Bündnis 90/Die Grünen",NA,"Dr.","Bettina","Hoffmann",NA,"f",1960,"Diplom-Biologin",NA,"MdB",35,35
"32",170,"Schwalm-Eder",79376,"https://www.abgeordnetenwatch.de/profile/edgar-franke",1,"SPD",NA,NA,"Edgar","Franke",NA,"m",1960,"Jurist",NA,"MdB",45,45
"33",171,"Marburg",176835,"https://www.abgeordnetenwatch.de/profile/hans-roth",15,"MLPD",NA,NA,"Hans","Roth",NA,NA,NA,NA,NA,NA,NA,NA
"34",171,"Marburg",176297,"https://www.abgeordnetenwatch.de/profile/ruediger-schapner",201,"dieBasis",NA,NA,"Rüdiger","Schapner",NA,NA,NA,NA,NA,NA,NA,NA
"35",171,"Marburg",176118,"https://www.abgeordnetenwatch.de/profile/goekhan-oezdemir",7,"FREIE WÄHLER",NA,NA,"Gökhan","Özdemir",NA,"m",1995,NA,"Kirchhain","selbstständiger Jungunternehmer ",NA,NA
"36",171,"Marburg",145768,"https://www.abgeordnetenwatch.de/profile/julian-schmidt",9,"AfD",9,NA,"Julian","Schmidt",NA,"m",1989,"Wirtschaftsingenieur - Energietechnik (Abschluss im Oktober)",NA,"Zeitsoldat-Heeresflieger",NA,NA
"37",171,"Marburg",79312,"https://www.abgeordnetenwatch.de/profile/stefan-heck",2,"CDU",NA,NA,"Stefan","Heck",NA,"m",1982,"Jurist",NA,"Staatssekretär",NA,NA
"38",171,"Marburg",175785,"https://www.abgeordnetenwatch.de/profile/niklas-hannott",4,"FDP",13,NA,"Niklas","Hannott",NA,"m",1995,"1. Staatsexamen","Marburg","Studienreferendar",NA,NA
"39",171,"Marburg",175685,"https://www.abgeordnetenwatch.de/profile/stephanie-theiss",5,"Bündnis 90/Die Grünen",NA,NA,"Stephanie","Theiss",NA,NA,1988,NA,"Marburg","Studentin",NA,NA
"40",171,"Marburg",175337,"https://www.abgeordnetenwatch.de/profile/maximilian-philipp-peter",8,"DIE LINKE",NA,NA,"Maximilian Philipp","Peter","Maximilian Philipp Peter ","m",1992,"Einzelhandelskaufmann","Weimar (Lahn)","Einzelhandelskaufmann",NA,NA
"41",171,"Marburg",78884,"https://www.abgeordnetenwatch.de/profile/soeren-bartol",1,"SPD",NA,NA,"Sören","Bartol",NA,"m",1974,"Diplom-Politologe",NA,"MdB",54,52
